code_commune,ville,departement,region,nb_copros,lots_stationnement_copro,copros_avec_stat,nb_appartements,nb_logements,menages_avec_voiture,taux_motorisation_pct,places_publiques,score_potentiel,profil
68224,Mulhouse,68224,68224,103,1319,43,50028,58439,32489,67.3,0,77.5,✅ Bon potentiel
67482,Strasbourg,67482,67482,48,567,20,149471,162246,86270,62.5,11554,64.6,✅ Bon potentiel
57463,Metz,57463,57463,32,899,27,60466,70903,43467,73.0,9726,64.4,✅ Bon potentiel
69029,Bron,69029,69029,14,1167,12,16491,19831,14114,76.6,0,56.7,✅ Bon potentiel
66136,Perpignan,66136,66136,82,578,24,54107,73808,43671,73.5,0,55.2,✅ Bon potentiel
69256,Vaulx-en-Velin,69256,69256,20,1010,16,16418,20353,13531,71.1,11,53.4,✅ Bon potentiel
69388,Lyon 8e Arrondissement,69388,69388,27,619,13,46285,49135,28209,65.2,0,46.2,✅ Bon potentiel
63113,Clermont-Ferrand,63113,63113,9,349,6,75235,91873,57276,72.7,0,45.1,✅ Bon potentiel
69266,Villeurbanne,69266,69266,11,397,8,82362,89281,48874,65.3,468,44.8,✅ Bon potentiel
54395,Nancy,54395,54395,31,238,19,63764,71856,37862,63.3,0,42.6,✅ Bon potentiel
69389,Lyon 9e Arrondissement,69389,69389,11,636,9,28567,30365,16233,67.1,0,42.0,✅ Bon potentiel
72181,72181,72181,72181,12,243,7,48301,84192,53886,76.2,0,41.0,✅ Bon potentiel
56260,Vannes,56260,56260,3,307,2,24587,35375,24114,79.7,0,35.3,✅ Bon potentiel
67180,Haguenau,67180,67180,6,221,6,11227,18571,14490,85.7,0,34.4,🔥 Fort potentiel
68297,Saint-Louis,68297,68297,13,158,11,8391,11735,8499,81.3,0,33.1,🔥 Fort potentiel
69259,Vénissieux,69259,69259,13,190,6,25071,29813,19132,71.2,77,31.6,✅ Bon potentiel
59183,59183,59183,59183,8,68,5,27042,46825,31288,76.2,0,31.4,✅ Bon potentiel
65440,Tarbes,65440,65440,8,153,4,22619,30079,18803,76.3,0,31.0,✅ Bon potentiel
64445,Pau,64445,64445,2,41,1,44362,53675,32885,76.1,0,30.8,✅ Bon potentiel
69290,Saint-Priest,69290,69290,2,121,2,16884,22429,17099,83.4,22,30.5,🔥 Fort potentiel
59017,59017,59017,59017,4,280,2,5645,12686,8610,76.2,450,30.0,✅ Bon potentiel
69199,Saint-Fons,69199,69199,6,246,6,6797,8147,5512,72.7,0,29.9,✅ Bon potentiel
69286,Rillieux-la-Pape,69286,69286,9,222,3,9846,13137,9514,76.7,0,29.9,✅ Bon potentiel
69264,Villefranche-sur-Saône,69264,69264,3,161,3,16652,19597,13447,77.6,0,29.8,✅ Bon potentiel
68066,Colmar,68066,68066,1,46,1,29990,36386,25853,77.9,0,29.2,✅ Bon potentiel
71270,Mâcon,71270,71270,4,112,3,14834,19229,13451,79.6,0,29.1,✅ Bon potentiel
56121,Lorient,56121,56121,2,96,2,27035,36656,24138,73.4,0,29.0,✅ Bon potentiel
69282,Meyzieu,69282,69282,5,47,1,7511,15150,12941,90.0,11,28.8,🔥 Fort potentiel
69027,Brignais,69027,69027,1,95,1,2950,5713,4934,89.2,0,28.3,🔥 Fort potentiel
67267,Lingolsheim,67267,67267,1,105,1,7174,9709,7790,84.4,0,27.9,🔥 Fort potentiel
68376,Wittenheim,68376,68376,1,92,1,2743,6785,5691,87.7,0,27.9,🔥 Fort potentiel
64102,Bayonne,64102,64102,13,2,1,28054,32373,23325,78.4,0,27.8,✅ Bon potentiel
97209,97209,97209,97209,2,12,1,27478,47866,25169,76.2,0,27.6,✅ Bon potentiel
57227,Forbach,57227,57227,9,51,6,7422,11001,7338,78.7,0,27.4,✅ Bon potentiel
67046,Bischwiller,67046,67046,4,56,4,2661,5398,4089,84.1,0,27.3,🔥 Fort potentiel
54547,Vandoeuvre-lès-Nancy,54547,54547,23,137,6,14076,17243,10390,67.0,0,27.1,✅ Bon potentiel
69091,Givors,69091,69091,14,104,4,6356,9113,6626,77.3,0,27.1,✅ Bon potentiel
69387,Lyon 7e Arrondissement,69387,69387,1,100,1,53306,55008,25501,57.9,0,27.1,🟡 Potentiel modéré
59009,59009,59009,59009,2,58,1,16791,29688,20765,76.2,2088,27.0,✅ Bon potentiel
69096,Grigny,69096,69096,1,72,1,2445,4258,3581,87.2,0,27.0,🔥 Fort potentiel
97415,97415,97415,97415,1,12,1,13523,49786,31750,76.2,0,26.9,✅ Bon potentiel
57631,57631,57631,57631,9,49,5,7610,11988,8146,76.2,0,26.3,✅ Bon potentiel
69092,Gleizé,69092,69092,1,27,1,1607,3532,2848,87.4,0,25.9,🔥 Fort potentiel
71076,Chalon-sur-Saône,71076,71076,3,13,2,23618,27766,18264,72.7,0,25.9,✅ Bon potentiel
54304,Laxou,54304,54304,6,56,4,5838,7915,5559,76.3,0,25.6,✅ Bon potentiel
56098,Lanester,56098,56098,3,30,2,5050,11724,8986,80.6,0,25.6,🔥 Fort potentiel
97418,97418,97418,97418,1,87,1,4715,14673,10459,76.2,0,25.3,✅ Bon potentiel
97302,97302,97302,97302,2,7,1,18356,29121,13725,76.2,0,25.2,✅ Bon potentiel
57269,Guénange,57269,57269,1,3,1,1222,3579,3043,86.6,0,25.1,🔥 Fort potentiel
62041,Arras,62041,62041,5,41,3,15950,24160,15203,69.7,0,25.1,✅ Bon potentiel
57751,57751,57751,57751,4,45,4,4300,6482,4521,76.2,250,25.0,✅ Bon potentiel
58194,58194,58194,58194,4,16,1,14694,22074,13269,76.2,0,25.0,✅ Bon potentiel
69152,Pierre-Bénite,69152,69152,1,52,1,3475,5008,3617,81.2,0,25.0,🔥 Fort potentiel
56007,Auray,56007,56007,1,50,1,5382,8975,6439,79.1,0,24.9,✅ Bon potentiel
57630,57630,57630,57630,5,54,3,4543,6822,4611,76.2,0,24.8,✅ Bon potentiel
63430,Thiers,63430,63430,6,6,3,3126,7389,4543,79.0,0,24.3,✅ Bon potentiel
67437,Saverne,67437,67437,2,20,1,4268,6436,4473,80.4,0,24.2,🔥 Fort potentiel
54431,Pont-à-Mousson,54431,54431,6,12,2,4168,7492,5181,78.7,0,24.1,✅ Bon potentiel
59122,59122,59122,59122,1,10,1,8291,18251,11659,76.2,0,24.0,✅ Bon potentiel
97414,97414,97414,97414,2,12,1,4356,23003,14162,76.2,0,24.0,✅ Bon potentiel
57332,Hombourg-Haut,57332,57332,1,6,1,1789,3230,2294,82.2,0,23.9,🔥 Fort potentiel
54329,Lunéville,54329,54329,10,47,2,6967,10601,6639,72.2,0,23.5,✅ Bon potentiel
54482,Saint-Max,54482,54482,2,27,2,4022,5674,4071,75.3,0,23.4,✅ Bon potentiel
62764,Saint-Nicolas,62764,62764,1,64,1,984,2255,1706,75.8,0,23.3,✅ Bon potentiel
54323,Longwy,54323,54323,1,21,1,5668,8660,5930,75.7,0,23.2,✅ Bon potentiel
72003,72003,72003,72003,1,36,1,2941,5130,3454,76.2,0,23.1,✅ Bon potentiel
72095,72095,72095,72095,1,23,1,2030,3557,2463,76.2,0,22.6,✅ Bon potentiel
62667,Le Portel,62667,62667,1,40,1,2298,4732,2851,69.7,0,21.3,✅ Bon potentiel
62048,Auchel,62048,62048,1,6,1,974,4916,3176,70.2,0,20.6,✅ Bon potentiel
62765,Saint-Omer,62765,62765,5,2,2,4993,8484,5067,66.4,0,20.5,✅ Bon potentiel
